player,age,minutes_90s,team,position,tackles_interceptions,club,goals_assists_per90,passes_pct,sca_per90,dribbles_completed_pct,shots_on_target_pct,team_cont
Aaron Mooy,32,4.0,Australia,MF,3.0,Celtic,0.0,78.3,1.25,66.7,0.0,Oceania
Aaron Ramsey,31,3.0,Wales,MF,0.6666666666666666,Nice,0.0,78.6,1.02,25.0,0.0,Europe
Abdelhamid Sabiri,26,2.0,Morocco,MF,4.0,Sampdoria,0.5,77.6,2.4,0.0,0.0,Africa
Abdulaziz Hatem,32,2.2,Qatar,MF,0.9090909090909091,Al Rayyan SC,0.0,79.1,0.92,100.0,100.0,Asia
Abdulellah Al-Malki,28,1.9,Saudi Arabia,MF,2.6315789473684212,Al-Hilal,0.0,78.6,1.03,,0.0,Asia
Adrien Rabiot,27,5.4,France,MF,4.0740740740740735,Juventus,0.37,83.5,2.05,40.0,44.4,Europe
Ahmad Nourollahi,29,2.5,IR Iran,MF,4.0,Al-Ahli Dubai FC,0.0,64.8,0.0,50.0,20.0,Asia
Ajdin Hrustic,26,0.7,Australia,MF,4.285714285714286,Hellas Verona,0.0,81.0,0.0,25.0,0.0,Oceania
Alexis Mac Allister,23,6.1,Argentina,MF,1.9672131147540985,Brighton,0.33,88.3,2.77,50.0,57.1,South America
Ali Gholizadeh,26,2.2,IR Iran,MF,1.3636363636363635,Charleroi,0.45,63.9,3.18,50.0,0.0,Asia
Ali Karimi,28,1.1,IR Iran,MF,5.454545454545454,Kayserispor,0.0,75.6,0.91,,,Asia
Alireza Jahanbakhsh,29,0.7,IR Iran,MF,2.857142857142857,Feyenoord,0.0,64.7,6.1,100.0,0.0,Asia
Alphonso Davies,22,3.0,Canada,MF,1.6666666666666667,Bayern Munich,0.33,71.9,2.67,45.8,33.3,North America
Amadou Onana,21,1.2,Belgium,MF,3.3333333333333335,Everton,0.0,90.6,0.0,100.0,0.0,Europe
Andre-Frank Zambo Anguissa,27,2.9,Cameroon,MF,3.103448275862069,Napoli,0.35,86.9,0.0,80.0,100.0,Africa
André Ayew,33,2.2,Ghana,MF,1.8181818181818181,Al Sadd SC,0.45,81.1,0.0,0.0,100.0,Africa
Anis Ben Slimane,21,1.6,Tunisia,MF,2.5,Brøndby,0.0,63.0,4.26,0.0,100.0,Africa
Antoine Griezmann,31,6.0,France,MF,3.6666666666666665,Atlético Madrid,0.5,78.4,5.53,36.4,33.3,Europe
Ao Tanaka,24,1.9,Japan,MF,3.1578947368421053,Düsseldorf,0.53,69.6,1.15,0.0,100.0,Asia
Assim Madibo,26,1.7,Qatar,MF,4.705882352941177,Al Duhail SC,0.0,82.9,1.18,,,Asia
Atiba Hutchinson,39,1.8,Canada,MF,2.7777777777777777,Beşiktaş,0.0,89.3,1.13,100.0,0.0,North America
Aurélien Tchouaméni,22,6.9,France,MF,3.623188405797101,Real Madrid,0.14,89.9,1.98,60.0,33.3,Europe
Axel Witsel,33,3.0,Belgium,MF,2.6666666666666665,Atlético Madrid,0.0,95.5,0.67,,0.0,Europe
Azzedine Ounahi,22,6.3,Morocco,MF,2.5396825396825395,Angers,0.0,81.5,2.54,76.9,16.7,Africa
Aïssa Laïdouni,26,2.7,Tunisia,MF,2.5925925925925926,Ferencváros,0.37,80.5,1.48,25.0,0.0,Africa
Bernardo Silva,28,4.0,Portugal,MF,1.0,Manchester City,0.0,87.7,3.28,25.0,0.0,Europe
Bilal El Khannous,18,0.6,Morocco,MF,0.0,Genk,0.0,83.3,1.64,0.0,,Africa
Brandon Aguilera,19,1.0,Costa Rica,MF,3.0,Asociación Deportiva Guanacasteca,0.0,71.1,0.0,66.7,,North America
Brenden Aaronson,22,1.2,United States,MF,3.3333333333333335,Leeds United,0.0,82.0,2.5,18.2,0.0,North America
