player,age,minutes_90s,team,position,tackles,interceptions,club,goals_assists_per90,passes_pct,dribbles_completed_pct,sca_per90,team_cont
Abderrazak Hamdallah,32,0.8,Morocco,FW,0.0,0.0,Al-Ittihad,0.0,53.3,66.7,0.0,Africa
Abdessamad Ezzalzouli,21,1.0,Morocco,FW,0.6666666666666666,0.0,Osasuna,0.0,76.9,50.0,5.63,Africa
Akram Afif,26,3.0,Qatar,FW,0.0,0.0,Al Sadd SC,0.0,84.2,42.9,2.33,Asia
Aleksandar Mitrović,28,2.9,Serbia,FW,0.0,0.0,Fulham,0.69,78.3,100.0,1.03,Europe
Alexis Vega,25,2.1,Mexico,FW,0.0,0.47619047619047616,Guadalajara,0.0,71.4,25.0,1.87,North America
Almoez Ali,26,2.5,Qatar,FW,0.0,0.4,Al Duhail SC,0.0,73.3,0.0,0.0,Asia
Andreas Cornelius,29,1.0,Denmark,FW,0.0,0.0,FC Copenhagen,0.0,61.8,100.0,4.89,Europe
Andreas Skov Olsen,22,1.5,Denmark,FW,0.0,0.6666666666666666,Club Brugge,0.0,68.3,0.0,2.05,Europe
Andrej Kramarić,31,5.3,Croatia,FW,0.6666666666666666,0.0,Hoffenheim,0.38,86.9,50.0,1.9,Europe
Ante Budimir,31,0.6,Croatia,FW,1.0,0.0,Osasuna,0.0,40.0,,2.05,Europe
Anthony Contreras,22,1.4,Costa Rica,FW,0.4,0.7142857142857143,Club Sport Herediano,0.0,57.7,,0.72,North America
Antony,22,1.9,Brazil,FW,0.0,0.5263157894736842,Manchester Utd,0.0,78.9,25.0,4.44,South America
Arkadiusz Milik,28,1.1,Poland,FW,0.0,0.0,Juventus,0.0,65.5,100.0,1.8,Europe
Bamba Dieng,22,1.1,Senegal,FW,0.5,0.0,Marseille,0.9,56.3,0.0,3.6,Africa
Boulaye Dia,26,3.5,Senegal,FW,0.0,0.2857142857142857,Salernitana,0.28,73.6,25.0,1.42,Africa
Breel Embolo,25,3.6,Switzerland,FW,0.0,0.0,Monaco,0.56,74.2,33.3,1.67,Europe
Brennan Johnson,21,1.0,Wales,FW,0.0,0.0,Nott'ham Forest,0.0,58.8,0.0,0.99,Europe
Bruno Fernandes,28,4.0,Portugal,FW,0.75,0.5,Manchester Utd,1.26,80.7,50.0,3.79,Europe
Bruno Petković,28,2.6,Croatia,FW,0.6666666666666666,0.0,Dinamo Zagreb,0.38,53.3,50.0,3.09,Europe
Bryan Mbeumo,23,2.6,Cameroon,FW,0.0,0.3846153846153846,Brentford,0.0,57.6,14.3,3.23,Africa
Bukayo Saka,21,3.2,England,FW,0.5714285714285714,0.625,Arsenal,0.94,77.8,18.2,2.8,Europe
Cho Guesung,24,3.1,Korea Republic,FW,0.0,0.0,Jeonbuk,0.65,63.5,0.0,1.31,Asia
Christian Pulisic,24,3.5,United States,FW,0.0,0.0,Chelsea,0.86,58.9,26.7,4.0,North America
Cody Gakpo,23,5.0,Netherlands,FW,0.25,0.6,PSV Eindhoven,0.6,62.8,38.5,3.39,Europe
Cristiano Ronaldo,37,3.2,Portugal,FW,0.0,0.0,Manchester Utd,0.31,75.6,0.0,3.1,Europe
Cyle Larin,27,1.5,Canada,FW,0.0,0.0,Club Brugge,0.0,72.4,25.0,3.28,North America
Daichi Kamada,26,3.6,Japan,FW,0.42857142857142855,0.0,Eint Frankfurt,0.0,79.8,75.0,1.96,Asia
Daizen Maeda,25,2.0,Japan,FW,0.6666666666666666,1.5,Celtic,0.5,47.1,0.0,0.5,Asia
Dani Olmo,24,4.1,Spain,FW,0.6,0.24390243902439027,RB Leipzig,0.49,81.8,21.1,2.94,Europe
Daniel James,25,1.7,Wales,FW,1.0,0.0,Fulham,0.0,66.7,25.0,1.17,Europe
Darwin Núñez,23,2.7,Uruguay,FW,0.6666666666666666,0.0,Liverpool,0.0,62.5,0.0,3.0,South America
Dušan Vlahović,22,0.9,Serbia,FW,0.0,0.0,Juventus,1.14,54.5,0.0,0.0,Europe
Edimilson Fernandes,26,1.6,Switzerland,FW,0.5,1.25,Mainz 05,0.0,79.3,0.0,1.86,Europe
Edinson Cavani,35,1.4,Uruguay,FW,0.0,0.0,Valencia,0.0,73.0,100.0,3.63,South America
Enner Valencia,33,2.8,Ecuador,FW,0.0,0.35714285714285715,Fenerbahçe,1.06,70.2,28.6,2.47,South America
Eric Maxim Choupo-Moting,33,2.8,Cameroon,FW,0.5,0.35714285714285715,Bayern Munich,0.36,66.7,37.5,1.78,Africa
Fabian Rieder,20,0.8,Switzerland,FW,0.6666666666666666,0.0,Young Boys,0.0,50.0,100.0,1.32,Europe
Famara Diedhiou,30,1.0,Senegal,FW,0.0,0.0,Alanyaspor,0.98,71.4,0.0,2.93,Africa
Ferrán Torres,22,2.4,Spain,FW,0.0,0.0,Barcelona,0.83,69.4,9.1,0.83,Europe
Gabriel Jesus,25,1.0,Brazil,FW,0.5,2.0,Arsenal,0.0,78.6,50.0,5.81,South America
Gareth Bale,33,2.5,Wales,FW,1.0,0.4,Los Angeles FC,0.4,62.3,33.3,1.6,Europe
Gio Reyna,20,0.6,United States,FW,0.0,0.0,Dortmund,0.0,68.4,,3.4,North America
Gonçalo Ramos,21,1.7,Portugal,FW,1.0,0.0,Benfica,2.37,80.6,0.0,1.18,Europe
Haji Wright,24,1.5,United States,FW,0.0,0.0,Antalyaspor,0.66,74.1,0.0,1.97,North America
Hakim Ziyech,29,7.1,Morocco,FW,0.7,1.4084507042253522,Chelsea,0.28,69.0,41.4,2.97,Africa
Haris Seferović,30,0.8,Switzerland,FW,0.0,0.0,Galatasaray,0.0,71.4,,1.27,Europe
Harry Kane,29,4.5,England,FW,0.5,0.0,Tottenham,1.12,63.3,50.0,2.24,Europe
Henry Martín,30,1.6,Mexico,FW,1.0,1.25,América,0.62,65.0,100.0,3.7,North America
Hirving Lozano,27,2.8,Mexico,FW,0.2857142857142857,0.0,Napoli,0.0,54.5,50.0,7.14,North America
Hwang Ui-jo,30,1.2,Korea Republic,FW,0.0,0.0,Olympiacos,0.0,81.8,100.0,0.0,Asia
Iliman Ndiaye,22,1.5,Senegal,FW,0.0,0.6666666666666666,Sheffield Utd,0.67,78.1,75.0,2.65,Africa
Ismaila Sarr,24,3.8,Senegal,FW,0.5,0.5263157894736842,Watford,0.26,64.2,47.4,3.94,Africa
Issam Jebali,30,2.0,Tunisia,FW,1.0,0.0,Odense,0.0,71.4,50.0,2.47,Africa
